sector.technology|Technologie
profile.sector|Secteur
profile.description|Description
profile.website|Site web
profile.location|Localisation
profile.logo|Logo
profile.about|À propos
networking.ai_powered|Propulsé par l\
networking.hero_title|Réseautage
networking.hero_subtitle|Intelligent
networking.hero_desc|Connectez-vous avec les leaders de l\
networking.login_required|Connexion requise
networking.hub_restricted|Le Hub de Réseautage est réservé aux membres inscrits.
networking.discover_recommendations|Connectez-vous pour découvrir vos recommandations personnalisées.
networking.login_button|Se connecter
networking.signup_button|S\
networking.precise_matching|Matching Précis
networking.matching_interests|Basé sur vos intérêts
networking.global_network|Réseau Global
networking.countries_represented|+50 pays représentés
networking.secure_access|Accès Sécurisé
networking.verified_profiles|Profils vérifiés
networking.ecosystem_title|L\
networking.b2b_space|Espace B2B pré-programmé
networking.b2b_desc|Rencontres ciblées avec des décideurs
networking.afterworks|Afterworks & réceptions
networking.afterworks_desc|Networking informel et convivial
networking.roundtables|Tables rondes sectorielles
networking.roundtables_desc|Échanges d\
networking.lounge_zone|Zone Lounge Business & VIP
networking.lounge_desc|Espaces de travail et de détente
networking.find_contacts|Trouvez les bons contacts
networking.smart_matching|Matching intelligent
networking.request_meeting|Demander un rendez-vous
networking.messages|Messages
networking.recommendations|Recommandations
dashboard.admin_title|Tableau de Bord Admin
dashboard.admin_subtitle|Gérer tous les ressources SIB 2026
dashboard.restricted_access|Accès Restreint - Administrateurs Uniquement
dashboard.restricted_message|Cette section est réservée aux administrateurs SIB
dashboard.back_to_dashboard|Retour au Tableau de Bord
dashboard.loading_metrics|Chargement des métriques...
dashboard.metrics_error|Erreur de chargement des métriques
dashboard.retry|Réessayer
dashboard.total_users|Utilisateurs Totaux
dashboard.active_users|Utilisateurs Actifs
dashboard.system_health|Santé Système
dashboard.user_growth|Croissance Utilisateurs
dashboard.activity_overview|Aperçu Activité
dashboard.traffic_analytics|Analytique Trafic
dashboard.registration_requests|Demandes d\
dashboard.pending_approvals|Approbations En Attente
dashboard.content_moderation|Modération Contenu
dashboard.settings|Paramètres
dashboard.reports|Rapports
dashboard.exports|Exports
dashboard.logout|Déconnexion
dashboard.your_quotas|Vos Quotas
dashboard.exhibitor_quotas|Vos Quotas Exposant
dashboard.visit_activity_7days|Activité de Visite (7 derniers jours)
dashboard.appointment_status|Statut des Rendez-vous
dashboard.interest_areas|Centres d\
dashboard.visitor_engagement_7days|Engagement Visiteurs (7 derniers jours)
dashboard.brand_exposure_7days|Exposition de Marque (7 derniers jours)
dashboard.engagement_channels|Canaux d\
visitor.my_tickets|Mes Billets
visitor.appointment_confirmed|Rendez-vous Confirmé
visitor.appointment_declined|Rendez-vous Refusé
visitor.no_appointments|Aucun Rendez-vous
visitor.appointment_status|Statut des Rendez-vous
visitor.appointment_scheduled|Rendez-vous Programmé
visitor.loading_appointments|Chargement des Rendez-vous...
visitor.error_loading|Impossible de charger les Rendez-vous. Veuillez réessayer.
visitor.quota_remaining|Quota Restant
partner.event_registration|Inscription Événement
partner.attendees|Participants
partner.contribution_level|Niveau de Contribution
exhibitor.visitor_interactions|Interactions Visiteurs
exhibitor.booth_analytics|Analytique du Stand
exhibitor.my_products|Mes Produits
contact.description|Entrez en contact avec notre équipe
contact.first_name|Prénom
contact.last_name|Nom
contact.send|Envoyer
venue.title|Plan de l\
venue.description|Explorez la carte interactive pour localiser les stands
venue.how_to_use|Comment utiliser la carte
venue.step1_title|Parcourez la carte
venue.step1_desc|Faites défiler la carte pour voir tous les stands disponibles
venue.step2_title|Survolez un stand
venue.step2_desc|Passez votre souris sur un stand pour voir un aperçu
venue.step3_title|Cliquez pour plus
venue.step3_desc|Cliquez sur un stand pour accéder à la fiche complète
news.description|Restez informé sur les derniers événements
news.search_placeholder|Chercher une actualité
news.filter|Filtrer
news.all_categories|Toutes les catégories
news.views|Vues
partnership.title|Partenariats SIB 2026
partnership.description|Rejoignez l\
partnership.premium|Sponsor Premium
partnership.gold|Sponsor Or
partnership.silver|Sponsor Argent
partnership.become|Devenir Sponsor
partnership.contact|Nous Contacter
marketing.stats.online|En Ligne
marketing.stats.drafts|Brouillons
marketing.filters|Filtres
marketing.filters.filter_by|Filtrer par :
marketing.filters.status|Statut :
marketing.filters.all|Tous
marketing.filters.webinars|Webinaires
marketing.filters.podcasts|Podcasts
marketing.filters.capsules|Capsules
marketing.filters.published|Publiés
marketing.filters.drafts|Brouillons
marketing.filters.best_moments|Moments Forts
marketing.filters.capsule_inside|Capsule Inside
marketing.filters.webinar|Webinaire
marketing.filters.live_studio|Live Studio
marketing.filters.podcast|Podcast
marketing.filters.testimonial|Témoignage
marketing.media.add_media|Ajouter un média
marketing.media.no_media|Aucun média trouvé
marketing.media.no_media_found|Aucun média trouvé
marketing.media.no_media_desc|Ajoutez des photos, vidéos ou podcasts pour commencer
marketing.media.start_adding|Ajoutez des photos, vidéos ou podcasts pour commencer
marketing.media.publish|Publier
marketing.media.unpublish|Dépublier
marketing.media.copy|Copier
marketing.media.copied|Shortcode copié !
marketing.media.deleted|Média supprimé
marketing.media.added|Média ajouté
marketing.media.error_update|Erreur de mise à jour
marketing.media.error_delete|Erreur de suppression
marketing.media.title|Titre
marketing.media.description|Description
marketing.media.type|Type de média
marketing.media.video_url|URL Vidéo / Audio
marketing.media.shortcode_copied|Shortcode copié !
marketing.status.published|Publié
marketing.status.draft|Brouillon
marketing.articles.title|Gestion des Articles
marketing.articles.subtitle|Créez et gérez les articles pour sibevent.com
marketing.articles.create_new|Créer un Nouvel Article
marketing.articles.published_count|Publiés
marketing.articles.drafts_count|Brouillons
marketing.articles.shortcodes_info|Utilisation des shortcodes
marketing.articles.shortcodes_desc|Copiez le shortcode d\
marketing.articles.example|Exemple :
marketing.articles.no_articles|Aucun article pour le moment
marketing.articles.author|Auteur
marketing.articles.category|Catégorie
marketing.articles.edit|Éditer
marketing.articles.publish|Publier
marketing.articles.unpublish|Dépublier
marketing.articles.delete|Supprimer
marketing.articles.published_badge|Publié
marketing.articles.draft_badge|Brouillon
subscription.title|Plans d\
subscription.description|Choisissez votre plan
subscription.visitor|Visiteur
subscription.partner|Sponsor
subscription.exhibitor|Exposant
subscription.features|Caractéristiques
subscription.included|Inclus
subscription.not_included|Non inclus
subscription.upgrade|Améliorer
subscription.current_plan|Plan actuel
legal.terms_title|Conditions d\
legal.privacy_title|Politique de Confidentialité
legal.cookies_title|Politique de Cookies
legal.last_update|Dernière mise à jour
legal.acceptance|Acceptation
legal.usage|Utilisation acceptable
legal.data_collection|Collecte de données
legal.contact|Nous Contacter
support.title|Support et Aide
support.description|Nous sommes là pour vous aider
support.contact_form|Formulaire de Contact
support.faq|Questions Fréquentes
support.technicalTitle|Support Technique
support.technicalDesc|Problèmes techniques, bugs, ou difficultés d\
support.contactTechnical|Contacter le Support
support.commercialTitle|Support Commercial
support.commercialDesc|Questions sur les tarifs, partenariats, ou informations sur l\
support.contactCommercial|Contact Commercial
support.exhibitorTitle|Support Exposant
support.exhibitorDesc|Aide pour la création de profil, gestion de stand, ou fonctionnalités exposant.
support.contactExhibitor|Support Exposant
support.faqTitle|Questions Fréquentes
support.loginProblems|Problèmes de connexion
support.forgotPassword|J\
support.forgotPasswordAnswer|Utilisez le lien "Mot de passe oublié" sur la page de connexion.
support.accountNotActivated|Mon compte n\
support.accountNotActivatedAnswer|Vérifiez vos emails ou contactez le support pour l\
support.platformFeatures|Fonctionnalités de la plateforme
support.howToAppointment|Comment prendre un rendez-vous ?
support.howToAppointmentAnswer|Accédez à la section "Networking" et sélectionnez un exposant.
support.howToEditProfile|Comment modifier mon profil ?
support.howToEditProfileAnswer|Allez dans "Mon Profil" dans le menu utilisateur.
support.immediateHelp|Besoin d\
support.teamAvailable|Notre équipe de support est disponible pour répondre à toutes vos questions.
support.emergencies|Urgences
support.openTicket|Ouvrir un ticket
support.sendEmail|Envoyer un email
resetPassword.minLength|Le mot de passe doit contenir au moins 12 caractères
resetPassword.maxLength|Le mot de passe ne doit pas dépasser 72 caractères
resetPassword.uppercaseRequired|Doit contenir au moins une majuscule
resetPassword.lowercaseRequired|Doit contenir au moins une minuscule
resetPassword.digitRequired|Doit contenir au moins un chiffre
resetPassword.specialRequired|Doit contenir au moins un caractère spécial
resetPassword.confirmRequired|Veuillez confirmer votre mot de passe
resetPassword.passwordsMismatch|Les mots de passe ne correspondent pas
resetPassword.supabaseNotConfigured|Supabase non configuré.
resetPassword.errorResetting|Erreur lors de la réinitialisation du mot de passe.
resetPassword.success|✅ Mot de passe défini avec succès. Vous pouvez maintenant vous connecter.
resetPassword.title|Réinitialiser le mot de passe
resetPassword.linkExpired|Le lien de réinitialisation semble incomplet ou expiré. Assurez-vous d\
resetPassword.newPasswordLabel|Nouveau mot de passe
resetPassword.newPasswordPlaceholder|Nouveau mot de passe (min. 12 caractères)
resetPassword.confirmLabel|Confirmer le mot de passe
resetPassword.confirmPlaceholder|Confirmer le mot de passe
resetPassword.loading|En cours...
resetPassword.submit|Changer le mot de passe
signupSuccess.welcomeMessage|Bienvenue sur SIB 2026 !
signupSuccess.title|🎉 Inscription Réussie !
signupSuccess.visitorSuccess|Félicitations ! Votre compte visiteur a été créé avec succès.
signupSuccess.registrationSuccess|Félicitations ! Votre demande d\
signupSuccess.exhibitor|exposant
signupSuccess.partner|sponsor
signupSuccess.registrationEmail|Email d\
signupSuccess.accessTo|✅ Vous avez accès à :
signupSuccess.nextSteps|📋 Prochaines Étapes
signupSuccess.catalogFeature|Parcourez les 600+ exposants de SIB 2026
signupSuccess.catalogLabel|Catalogue complet :
signupSuccess.programFeature|Découvrez les conférences et événements
signupSuccess.programLabel|Programme :
signupSuccess.networkingFeature|Planifiez vos rendez-vous avec les exposants
signupSuccess.networkingLabel|Networking :
signupSuccess.profileFeature|Complétez votre profil et explorez les opportunités
signupSuccess.profileLabel|Profil :
signupSuccess.confirmationEmail|Un email récapitulatif vous a été envoyé. Veuillez vérifier votre boîte de réception.
signupSuccess.confirmationLabel|Email de confirmation :
signupSuccess.validationStep|Notre équipe examinera votre demande sous 48 heures ouvrées.
signupSuccess.validationLabel|Validation :
signupSuccess.activationStep|Une fois validé, vous recevrez un email avec vos accès complets.
signupSuccess.activationLabel|Activation :
signupSuccess.goToDashboard|Aller au tableau de bord
signupSuccess.autoRedirect|Redirection automatique dans {{countdown}}s...
signupSuccess.login|Se connecter
signupSuccess.questions|Questions ?
signupSuccess.contactSupport|Contactez notre support
payment.alreadyPremium|Vous êtes déjà abonné Premium VIP !
payment.userNotConnected|Utilisateur non connecté
payment.requestCreated|Demande de paiement créée
payment.requestError|Erreur lors de la création de la demande
payment.stripeError|Erreur lors du paiement par carte bancaire
payment.stripeErrorToast|Erreur de paiement par carte bancaire
payment.paypalSuccess|Paiement PayPal réussi !
payment.paypalCaptureError|Erreur lors de la capture PayPal
payment.paypalErrorToast|Erreur de paiement PayPal
payment.cmiError|Erreur lors du paiement CMI
payment.cmiErrorToast|Erreur de paiement CMI
payment.selectImage|Veuillez sélectionner une image
payment.photoMaxSize|La photo ne doit pas dépasser 5MB
payment.authCreationError|Erreur lors de la création du compte sécurisé
payment.profileCompleted|Profil VIP complété avec succès
payment.profileUpdateError|Erreur lors de la mise à jour du profil
payment.simulatedSuccess|🎉 Paiement VIP simulé avec succès !
payment.simulationError|Erreur lors de la simulation du paiement
payment.preparing|Préparation du paiement...
payment.redirecting|Redirection vers le paiement...
payment.pleaseWait|Veuillez patienter, nous préparons votre demande de paiement par virement bancaire.
login.paymentRequired|Paiement requis pour accéder au tableau de bord VIP.
login.paymentRequiredFull|Paiement requis pour accéder au tableau de bord VIP. Veuillez finaliser votre paiement.
login.connectionError|Erreur de connexion
login.fillAllFields|Veuillez remplir tous les champs
login.wrongCredentials|Email ou mot de passe incorrect
login.googleError|Erreur lors de la connexion Google
login.linkedinError|Erreur lors de la connexion LinkedIn
login.demoMarketing|Marketing
login.demoServiceClient|Service Clientèle
login.demoAdmin|Administrateur
login.demoConnect|Connexion
login.demoBadgeConnect|Connexion Impression Badges
login.demoAdminConnect|Connexion Admin
login.demoPasswordNote|Mot de passe: Demo2026! (Service2026! pour service clientèle)
login.quickAccess|Accès rapide - Démo
login.testFeatures|Testez toutes les fonctionnalités
login.viewAccounts|Voir les comptes
login.noAccount|Pas encore de compte ?
login.createAccount|Créer un compte
sub.info.contactOrg|URBACOM
sub.visitorFree.cta|S\
sub.visitorFree.f1|Accès au site du salon
sub.visitorFree.f2|Consultation des exposants
sub.visitorFree.f3|Demandes de rendez-vous
sub.visitorFree.f4|Messagerie directe
sub.visitorFree.f5|Mini-sites des exposants
sub.visitorFree.f6|Événements en direct
sub.visitorFree.b1|Accès complet à l\
sub.visitorFree.b2|Consultation des profils publics
sub.visitorFree.b3|Voir les événements et conférences
sub.visitorFree.b4|Badge visiteur gratuit
sub.visitorVip.name|Visiteur Premium
sub.visitorVip.desc|Accès prioritaire + 10 rendez-vous
sub.visitorVip.cta|Inscription Visiteur VIP
sub.visitorVip.f1|Accès au site du salon
sub.visitorVip.f2|Consultation des exposants
sub.visitorVip.f3|Demandes de rendez-vous (10)
sub.visitorVip.f4|Messagerie directe
sub.visitorVip.f5|Mini-sites des exposants
sub.visitorVip.f6|Événements en direct
sub.visitorVip.f7|Badge VIP prioritaire
sub.visitorVip.f8|Accès prioritaire aux nouveautés
sub.visitorVip.b1|10 demandes de rendez-vous actives
sub.visitorVip.b2|Messagerie directe avec les exposants
sub.visitorVip.b3|Badge VIP virtuel avec QR code
sub.visitorVip.b4|Priorité dans les algorithmes de recommandation
sub.visitorVip.b5|Accès exclusif aux webinaires
sub.visitorVip.b6|Support prioritaire
sub.exh9m.name|Exposant 9m² (Base)
sub.exh9m.desc|Profil & présence de base
sub.exh9m.cta|Inscription Exposant
sub.exh9m.f1|Profil d\
sub.exh9m.f2|Logo sur le site
sub.exh9m.f3|Présentation courte
sub.exh9m.f4|Mini-site personnalisé
sub.exh9m.f5|Gestion des rendez-vous
sub.exh9m.f6|Store produits
sub.exh9m.f7|Tableau de bord exposant
sub.exh9m.f8|Formulaire de contact
sub.exh9m.b1|Profil d\
sub.exh9m.b2|Présence sur le site
sub.exh9m.b3|Logo et description
sub.exh9m.b4|Formulaire de contact basique
sub.exh9m.b5|Accès tableau de bord
sub.exh18m.name|Exposant 18m² (Standard)
sub.exh18m.desc|Mini-site + 15 rendez-vous
sub.exh18m.cta|Inscription Exposant
sub.exh18m.f1|Profil d\
sub.exh18m.f2|Logo sur le site
sub.exh18m.f3|Mini-site personnalisé
sub.exh18m.f4|Gestion des rendez-vous (15)
sub.exh18m.f5|Store produits & filtrage
sub.exh18m.f6|URL personnalisée
sub.exh18m.f7|Tableau de bord complet
sub.exh18m.f8|Support standard
sub.exh18m.b1|Mini-site dédié avec URL personnalisée
sub.exh18m.b2|15 créneaux de rendez-vous disponibles
sub.exh18m.b3|Présentation complète de produits/services
sub.exh18m.b4|Système de filtrage des visiteurs
sub.exh18m.b5|Messagerie intégrée
sub.exh18m.b6|Accès aux analytics basiques
sub.exh36m.name|Exposant 36m² (Premium)
sub.exh36m.desc|Mise en avant + 30 rendez-vous
sub.exh36m.cta|Inscription Exposant
sub.exh36m.f1|Profil d\
sub.exh36m.f2|Mini-site personnalisé
sub.exh36m.f3|Mise en avant "À la Une"
sub.exh36m.f4|Gestion des rendez-vous (30)
sub.exh36m.f5|Store produits avancé
sub.exh36m.f6|Accès API Supabase limité
sub.exh36m.f7|Outils de réseautage avancés
sub.exh36m.f8|Support prioritaire
sub.exh36m.f9|Badge virtuel personnalisé
sub.exh36m.b1|Mise en avant sur la page d\
sub.exh36m.b2|30 créneaux de rendez-vous
sub.exh36m.b3|Mini-site premium avec médias illimités
sub.exh36m.b4|Intégration API personnalisée
sub.exh36m.b5|Messagerie directe et chat
sub.exh36m.b6|Analytics détaillés
sub.exh36m.b7|Support technique prioritaire
sub.exh54m.name|Exposant 54m²+ (Elite)
sub.exh54m.desc|Visibilité maximale + créneaux illimités
sub.exh54m.cta|Inscription Exposant
sub.exh54m.f1|Profil d\
sub.exh54m.f2|Mini-site Premium
sub.exh54m.f3|Mise en avant permanente
sub.exh54m.f4|Rendez-vous illimités
sub.exh54m.f5|Store produits complet
sub.exh54m.f6|Accès API Supabase complet
sub.exh54m.f7|Outils de réseautage illimités
sub.exh54m.f8|Support VIP 24/7
sub.exh54m.f9|Personnalisation avancée
sub.exh54m.b1|Mise en avant permanente et prioritaire
sub.exh54m.b2|Créneaux de rendez-vous illimités
sub.exh54m.b3|Mini-site avec scripts personnalisés
sub.exh54m.b4|Accès API complet pour intégrations
sub.exh54m.b5|Stockage médias illimité
sub.exh54m.b6|Chat et messagerie illimitée
sub.exh54m.b7|Support technique VIP dédié
sub.exh54m.b8|Priorité algorithmique
sub.partSilver.name|Sponsor Silver (200 000 MAD)
sub.partSilver.desc|Visibilité & communication
sub.partSilver.cta|Devenir Sponsor Silver
sub.partSilver.f1|Logo sur tous les supports
sub.partSilver.f2|Logo plan officiel
sub.partSilver.f3|1 bannière web
sub.partSilver.f4|200 invitations
sub.partSilver.f5|Publicité réseaux sociaux
sub.partSilver.f6|Publicité écrans salon
sub.partSilver.f7|Salle conférence 1h
sub.partSilver.f8|Catalogue officiel
sub.partSilver.f9|Reportage photos/vidéos
sub.partGold.name|Sponsor Gold (350 000 MAD)
sub.partGold.desc|Visibilité renforcée
sub.partGold.cta|Devenir Sponsor Gold
sub.partGold.f1|Logo sur tous les supports
sub.partGold.f2|Logo plan officiel
sub.partGold.f3|2 bannières web
sub.partGold.f4|500 invitations
sub.partGold.f5|Jingles et opening SIB TV
sub.partGold.f6|Salle conférence 1h30
sub.partGold.f7|Catalogue 3ème couverture
sub.partGold.f8|Mot du DG + présentation
sub.partGold.f9|Reportage complet post-salon
sub.partOfficiel.name|Partenaire Officiel (500 000 MAD)
sub.partOfficiel.desc|Visibilité maximale — Sponsor stratégique
sub.partOfficiel.cta|Devenir Partenaire Officiel
sub.partOfficiel.f1|Logo sur tous les supports
sub.partOfficiel.f2|4 bannières web
sub.partOfficiel.f3|1 000 invitations
sub.partOfficiel.f4|Rubans badges visiteurs
sub.partOfficiel.f5|Habillage façade salon
sub.partOfficiel.f6|Salle conférence 2h
sub.partOfficiel.f7|Catalogue 4ème couverture + signet
sub.partOfficiel.f8|Citation conférence de presse
sub.partOfficiel.f9|Rapport final + pressbook
sub.partOfficiel.f10|Publicité totems d\
sub.partOfficiel.f11|Posts sponsorisés réseaux sociaux
partSupport.pageTitle|Support Sponsor
partSupport.pageSubtitle|Assistance technique, formation et support commercial dédiés
partSupport.backToDashboard|Retour au tableau de bord
partSupport.premiumSupport|Support Premium 24/7
partSupport.responseTime|Temps de réponse: 2h 15m
partSupport.activeTickets|Tickets actifs
partSupport.resolvedThisMonth|Résolus ce mois
partSupport.avgResponseTime|Temps de réponse moyen
partSupport.clientSatisfaction|Satisfaction client
partSupport.quickActions|Actions Rapides
partSupport.createTicket|Créer un ticket
partSupport.createTicketDesc|Signaler un problème ou faire une demande
partSupport.contactSupport|Contacter le support
partSupport.contactSupportDesc|Parler directement avec un conseiller
partSupport.knowledgeBase|Base de connaissances
partSupport.knowledgeBaseDesc|Trouver des réponses aux questions fréquentes
partSupport.scheduleTraining|Planifier une formation
partSupport.scheduleTrainingDesc|Réserver une session de formation personnalisée
partSupport.recentTickets|Tickets Récents
partSupport.ticket|Ticket
partSupport.statusInProgress|En cours
partSupport.statusResolved|Résolu
partSupport.statusPending|En attente
partSupport.statusClosed|Fermé
partSupport.priorityHigh|Haute
partSupport.priorityMedium|Moyenne
partSupport.priorityLow|Basse
partSupport.category|Catégorie:
partSupport.createdAt|Créé le:
partSupport.lastUpdate|Dernière MAJ:
partSupport.assignedTo|Assigné à:
partSupport.reply|Répondre
partSupport.markResolved|Marquer résolu
partSupport.supportCategories|Catégories de Support
partSupport.technicalSupport|Support Technique
partSupport.technicalSupportDesc|Problèmes techniques, bugs, intégrations
partSupport.trainingOnboarding|Formation & Onboarding
partSupport.trainingOnboardingDesc|Sessions de formation, guides d\
partSupport.commercial|Commercial
partSupport.commercialDesc|Questions commerciales, contrats, facturation
partSupport.administrative|Administratif
partSupport.administrativeDesc|Mises à jour profil, documents, accès
partSupport.activeTicketsLabel|Tickets actifs:
partSupport.avgResolution|Résolution moyenne:
partSupport.contactSupportTitle|Contact Support
partSupport.phoneSupport|Support Téléphonique
partSupport.phoneAvailability|24/7 - Disponible immédiatement
partSupport.emailSupport|Support Email
partSupport.emailResponseTime|Réponse sous 2h
partSupport.liveChat|Chat en Ligne
partSupport.liveChatAvailability|Disponible 8h-18h
partSupport.liveChatLocation|Chat en bas à droite
partSupport.ticket1Title|Problème d\
partSupport.ticket1Desc|Impossible d\
partSupport.ticket1Category|Technique
partSupport.ticket2Title|Demande de formation équipe commerciale
partSupport.ticket2Desc|Besoin de formation sur les nouveaux outils de prospection.
partSupport.ticket2Category|Formation
partSupport.ticket3Title|Mise à jour des informations société
partSupport.ticket3Desc|Changement d\
partSupport.ticket3Category|Administratif
detail.overview|Aperçu
detail.contact|Nous Contacter
detail.book_appointment|Réserver un Rendez-vous
detail.add_favorite|Ajouter aux Favoris
detail.share|Partager
detail.products|Produits
detail.services|Services
detail.team|Équipe
networking.description|Connexions intelligentes basées sur votre profil
networking.favorites|Mes Favoris
networking.find_matches|Trouver des correspondances
networking.compatibility|Compatibilité
api.title|API SIB
api.description|Intégrez SIB dans vos applications
api.documentation|Documentation API
api.authentication|Authentification
api.endpoints|Points de Terminaison
api.rate_limiting|Limitation de Débit
api.webhook|Webhooks
api.get_started|Commencer
badge.badge_info|Informations du Badge
badge.access_level|Niveau d\
badge.share|Partager
enhanced_networking.title|Réseautage Avancé
enhanced_networking.ai_matching|Appariement IA
enhanced_networking.analytics|Analytique
enhanced_networking.compatibility_score|Score de Compatibilité
enhanced_networking.mutual_connections|Connexions Mutuelles
upgrade.partner_title|Plans d\
upgrade.partner_description|Élevez votre visibilité au SIB 2026
upgrade.visitor_title|Mises à Jour de Visiteur
upgrade.visitor_description|Accédez aux fonctionnalités premium
upgrade.payment_method|Méthode de Paiement
upgrade.card|Carte de Crédit
upgrade.paypal|PayPal
upgrade.bank_transfer|Virement Bancaire
upgrade.amount|Montant
upgrade.total|Total
payment.error.missingReference|Veuillez renseigner la référence du virement
payment.success.proofSubmitted|Justificatif enregistré ! Votre paiement sera validé sous 24-48h.
payment.error.generic|Erreur: {{message}}
common.copiedToClipboard|Copié dans le presse-papier
payment.error.notFound|Utilisateur ou demande de paiement introuvable.
payment.instructions.title|Instructions de Paiement
payment.instructions.subtitle|Pass Premium VIP - 
payment.status.pendingTitle|Demande en attente de validation
payment.status.pendingDescription|Votre demande a bien été reçue. Veuillez procéder au virement pour finaliser votre inscription.
payment.status.approvedTitle|Paiement approuvé !
payment.status.approvedDescription|Vous avez maintenant accès au Pass Premium VIP.
payment.status.rejectedTitle|Paiement refusé
payment.status.rejectedReason|Raison: 
payment.bank.title|Informations Bancaires
payment.bank.bankName|Banque
payment.bank.accountHolder|Titulaire du compte
payment.bank.iban|IBAN
payment.bank.bic|BIC/SWIFT
payment.bank.mandatoryReference|Référence obligatoire
payment.bank.referenceNote|À indiquer impérativement dans le libellé du virement
payment.instructions.stepsTitle|Instructions
payment.instructions.step1|Effectuez un virement de <strong>{{amount}} EUR</strong> sur le compte indiqué.
payment.instructions.step2|Indiquez la référence <strong>{{reference}}</strong> dans le libellé.
payment.instructions.step3|Conservez votre preuve de virement.
payment.instructions.step4|Renseignez la référence ci-dessous pour validation.
payment.proof.title|Soumettre votre justificatif
payment.proof.referenceLabel|Référence du virement
payment.proof.referenceHint|Numéro de transaction ou référence bancaire
payment.proof.urlLabel|URL du justificatif (optionnel)
payment.proof.urlHint|Lien vers votre justificatif (Google Drive, Dropbox, etc.)
payment.proof.submitting|Envoi en cours...
payment.proof.submit|Soumettre le justificatif
payment.proof.submittedTitle|Justificatif soumis
payment.proof.submittedDate|Soumis le {{date}}
payment.proof.processingNote|Votre demande est en cours de traitement. Vous serez notifié dès validation.
payment.support.needHelp|Besoin d\
payment.success.confirmed|Paiement confirmé ! Vous êtes maintenant VIP.
payment.success.validated|Paiement validé ! Vous êtes maintenant VIP.
payment.success.welcomeVip|Bienvenue dans le Club VIP !
payment.error.verificationFailed|Impossible de vérifier le paiement. Contactez le support.
payment.error.verificationError|Erreur lors de la vérification du paiement
payment.verification.loading|Vérification du paiement...
payment.verification.pleaseWait|Veuillez patienter quelques instants
payment.error.title|Erreur de paiement
payment.error.retry|Réessayer le paiement
payment.error.contactSupport|Contacter le support
payment.success.title|Paiement réussi !
payment.success.welcomeClub|Bienvenue dans le Club VIP
payment.success.description|Votre Pass Premium VIP est maintenant actif ! Vous avez désormais accès à toutes les fonctionnalités exclusives de SIB 2026.
payment.success.emailSent|Un email de confirmation a été envoyé à <strong>{{email}}</strong>
payment.success.nextSteps|Prochaines étapes
payment.success.step1Title|Téléchargez votre badge VIP
payment.success.step1Desc|Badge premium avec photo et QR code sécurisé
payment.success.step2Title|Accédez à votre tableau de bord VIP
payment.success.step2Desc|Toutes les fonctionnalités premium sont maintenant débloquées
payment.success.step3Title|Planifiez vos rendez-vous B2B
payment.success.step3Desc|Rendez-vous B2B ILLIMITÉS disponibles immédiatement
payment.success.downloadBadge|Télécharger mon badge VIP
payment.success.goToDashboard|Accéder à mon tableau de bord VIP
payment.success.benefit1Title|Networking Illimité
payment.success.benefit1Desc|Rencontrez tous les décideurs
payment.success.benefit2Title|RDV B2B Illimités
payment.success.benefit2Desc|Planifiez vos rendez-vous stratégiques
payment.success.benefit3Title|Événements Exclusifs
payment.success.benefit3Desc|Gala, ateliers, conférences VIP
upgrade.free.badge|Badge numérique basique
upgrade.free.exhibition|Accès zone exposition
upgrade.free.publicConferences|Conférences publiques
upgrade.free.b2bMeetings|Rendez-vous B2B
upgrade.free.unlimitedNetworking|Networking illimité
upgrade.free.exclusiveEvents|Événements exclusifs
upgrade.free.workshops|Ateliers spécialisés
upgrade.free.gala|Soirée gala
upgrade.vip.premiumBadge|Badge Premium avec photo
upgrade.vip.fullAccess|Accès complet 5 jours
upgrade.vip.b2bRequests|10 demandes de RDV B2B actives
upgrade.vip.unlimitedNetworking|Networking illimité
upgrade.vip.inauguration|Invitation inauguration
upgrade.vip.workshops|Ateliers spécialisés
upgrade.vip.exclusiveGala|Soirée gala exclusive
upgrade.vip.networkingLunches|Déjeuners networking
upgrade.vip.vipConferences|Conférences VIP
upgrade.vip.privateLounge|Accès lounge privé
upgrade.testimonial1.content|Le Pass VIP a transformé ma participation. J\
upgrade.testimonial2.content|Les événements exclusifs VIP m\
upgrade.testimonial3.content|L\
upgrade.hero.title|Passez au Pass Premium VIP
upgrade.hero.subtitle|Débloquez toutes les fonctionnalités et maximisez votre retour sur investissement au SIB 2026
upgrade.hero.launchOffer|Offre de lancement : 300€ au lieu de 950€
upgrade.freeCard.title|Pass Gratuit
upgrade.freeCard.subtitle|Accès limité
upgrade.freeCard.currentPass|Votre pass actuel
upgrade.vipCard.recommended|⭐ RECOMMANDÉ
upgrade.vipCard.title|Pass Premium VIP
upgrade.vipCard.subtitle|Accès complet 5 jours
upgrade.vipCard.cta|Passer au Premium VIP
upgrade.benefits.title|Pourquoi passer Premium ?
upgrade.benefits.b2bTitle|RDV B2B Stratégiques
upgrade.benefits.b2bDesc|10 demandes actives pour rencontrer les décideurs clés. Libération automatique après réponse.
upgrade.benefits.networkTitle|Networking Premium
upgrade.benefits.networkDesc|Accès illimité aux événements exclusifs : gala, déjeuners, lounge privé avec 500+ décideurs.
upgrade.benefits.badgeTitle|Badge Ultra-Sécurisé
upgrade.benefits.badgeDesc|Badge premium avec photo et QR code crypté. Accès prioritaire à toutes les zones VIP.
